,statement,source,link,veracity
3688,"""Here in Philadelphia murder has been steady — I mean — just terribly increasing.""",Donald Trump,/pennsylvania/statements/2017/jan/26/donald-trump/donald-trump-falsely-tells-gop-philly-homicides-ar/,False
3689,"""Not one dime of the tax cut that they are going to enact with the repeal of Obamacare will go to people who make under $200,000.""",Claire McCaskill,/truth-o-meter/statements/2017/jan/26/claire-mccaskill/claire-mccaskill-overstates-tax-impacts-repealing-/,Mostly False
3690,"""One hundred and ninety-four countries signed the Paris Agreement to control greenhouse gases. Our own voluntary agreement to accomplish the same goal — the Under2  MOU — has 165 signatories, representing a billion people.""",Jerry Brown,/truth-o-meter/statements/2017/jan/26/jerry-brown/heres-what-you-need-know-about-californias-paris-a/,Mostly True
3691,"""About 30 percent of terrorists at Guantanamo Bay went back into battle. We know that a dozen or so killed Americans.""",Cory Gardner,/florida/statements/2017/jan/25/cory-gardner/how-many-released-guantanamo-bay-prisoners-commit-/,Mostly True
3692,"Say George Soros's money ""went straight into the (Women’s March) protesters’ pockets.""",Bloggers,/truth-o-meter/statements/2017/jan/25/blog-posting/pants-fire-george-soros-money-womens-march-protest/,Pants on Fire!
3693,"""There's one (study) that came out of Pew in 2008 that showed 14 percent of people who voted were noncitizens.""",Sean Spicer,/truth-o-meter/statements/2017/jan/25/sean-spicer/sean-spicer-wrongly-uses-pew-study-bolster-claim-n/,False
3694,"Says Betsy DeVos and her family ""have donated extensively to groups which promote the idea that students who identify as LGBT must undergo 'conversion' therapy.""",Mark Pocan,/wisconsin/statements/2017/jan/25/mark-pocan/betsy-devos-backs-groups-say-lgbt-students-must-ge/,Mostly False
3695,"There has been a ""dramatic expansion of the federal workforce in recent years.""",Sean Spicer,/truth-o-meter/statements/2017/jan/25/sean-spicer/sean-spicers-claim-federal-workforce-has-expanded-/,Mostly False
3696,"""In 2015, homicides increased by 17 percent in America’s 50 largest cities. That’s the largest increase in 25 years.""",Donald Trump,/truth-o-meter/statements/2017/jan/24/donald-trump/donald-trumps-numbers-homicide-increase-are-solid/,Mostly True
3697,"Twenty-seven percent of Californians, almost 11 million, ""were born in a foreign land.""",Jerry Brown,/california/statements/2017/jan/24/jerry-brown/true-27-percent-californians-were-born-foreign-lan/,True
3698,"""Some countries are contributing (peacekeeping) troops because they're making money off of them.""",Nikki Haley,/global-news/statements/2017/jan/24/nikki-haley/un-peacekeeping-money-maker/,Mostly True
3699,"Miami-Dade is ""the first community in the world to break the cycle of local transmission of the Zika virus.""",Carlos Gimenez,/florida/statements/2017/jan/24/carlos-gimenez/miami-dade-no-1-leader-breaking-local-zika-transmi/,Mostly True
3700,"""In our nation’s capital, killings have risen by 50 percent.""",Donald Trump,/truth-o-meter/statements/2017/jan/23/donald-trump/white-house-website-says-dc-homicides-climbed-50-p/,Mostly False
3701,"""The White House removed its climate change web page. And the healthcare, civil rights and LGBT sections.""",George Takei,/punditfact/statements/2017/jan/23/george-takei/george-takei-says-white-house-removed-pages-about-/,Mostly True
3702,"""The media ... sort of made it sound like I had a feud with the intelligence community.""",Donald Trump,/truth-o-meter/statements/2017/jan/22/donald-trump/trump-wrongly-blames-press-feud-intel-community/,False
3703,"""Pads and tampons (are) still taxed when Viagra and Rogaine are not.""",Ashley Judd,/punditfact/statements/2017/jan/22/ashley-judd/are-pads-and-tampons-taxed-viagra-and-rogaine-not/,Half-True
3704,"""That was the largest audience to witness an inauguration, period.""",Sean Spicer,/truth-o-meter/statements/2017/jan/22/sean-spicer/trump-had-biggest-inaugural-crowd-ever-metrics-don/,Pants on Fire!
3705,"""The exodus of citizens from New York State has been growing.""",Edward Cox,/new-york/statements/2017/jan/20/edward-cox/new-york-losing-more-people-other-states-its-gaini/,True
3706,"""Our Navy has shrunk from more than 500 ships in 1991 to 275 in 2016.""",Donald Trump,/florida/statements/2017/jan/20/donald-trump/trump-says-navy-has-shrunk-dramatically-1991/,Mostly True
3707,"""We've made other countries rich while the wealth ... of our country has dissipated over the horizon.""",Donald Trump,/truth-o-meter/statements/2017/jan/20/donald-trump/trump-wrongly-says-us-has-made-others-rich-while-o/,Mostly False
3708,"California has ""the highest poverty rate in the nation"" when considering the U.S. Census Bureau’s Supplemental Poverty Measure.",Chad Mayes,/california/statements/2017/jan/20/chad-mayes/true-california-has-nations-highest-poverty-rate-w/,True
3709,"Wisconsin’s middle class is the ""most diminished"" in the United States.",Peter Barca,/wisconsin/statements/2017/jan/20/peter-barca/citing-old-data-wisconsin-lawmaker-says-states-mid/,False
3710,"""Businesses are leaving Illinois. I think, statistically, that can be proven to be false through the Bureau of Labor Statistics. No net businesses left Illinois.""",Jason Keller,/illinois/statements/2017/jan/19/jason-keller/afl-cio-director-points-to-untraceable-data/,False
3711,"Says North Carolinians are ""already paying for"" Medicaid expansion, even though the state hasn’t expanded Medicaid.",Roy Cooper,/north-carolina/statements/2017/jan/19/roy-cooper/nc-gov-roy-cooper-medicaid-expansion-north-carolin/,Mostly True
3712,"""[The Foundation for Individual Rights] is the recipient of donations from [DeVos] totaling about 25,000 bucks over four years.""",Bob Casey,/pennsylvania/statements/2017/jan/19/bob-casey/trumps-education-pick-donated-philly-group-controv/,Mostly True
3713,"The uninsured rate in California reached ""a historic low of 7.4 percent in 2016.""",Jerry Brown,/california/statements/2017/jan/19/jerry-brown/true-californias-uninsured-rate-has-hit-historic-l/,True
3714,"""In the last decade, 73% of new jobs (in Wisconsin) have come from Madison.""",Mark Pocan,/wisconsin/statements/2017/jan/19/mark-pocan/pocan-wrongly-claims-last-decade-73-new-jobs-wisco/,False
3715,"Thirteen Democratic senators ""voted against cheaper medicines"" and took millions from ""big pharma since 2011.""",The Other 98%,/truth-o-meter/statements/2017/jan/18/other-98/viral-image-about-democratic-senators-and-big-phar/,Mostly False
3716,"""I would imagine that there's probably a gun in the school (in Wapiti, Wyo.) to protect from potential grizzlies.""",Betsy DeVos,/truth-o-meter/statements/2017/jan/18/betsy-devos/education-nominee-betsy-devos-says-wyoming-school-/,False
3717,"""Florida is ranked 50th in the nation for mental health care funding.""",Carlos Guillermo Smith,/florida/statements/2017/jan/18/carlos-guillermo-smith/after-fort-lauderdale-airport-shooting-legislator-/,Mostly True
3718,"Obamacare ""is in what the actuaries call a death spiral.""",Paul Ryan,/wisconsin/statements/2017/jan/18/paul-ryan/paul-ryan-wrongly-claims-actuaries-have-determined/,False
3719,"""House Bill 6627 also requires the applicant to attest to their eligibility to vote, as is required by the National Voter Registration Act and used by all other states that have (automatic voter registration).""",Mike Fortner,/illinois/statements/2017/jan/17/mike-fortner/fortners-claim-about-automatic-voter-registration-/,True
3720,"""We give (foreign aid) to developing countries, and 70 percent of it's stolen off the top.""",Rand Paul,/global-news/statements/2017/jan/17/rand-paul/no-70-foreign-aid-not-stolen-top/,False
3721,"The inauguration of Donald Trump ""will be the first one that I miss since I've been in Congress.""",John Lewis,/truth-o-meter/statements/2017/jan/17/john-lewis/john-lewis-wrong-whether-he-skipped-inauguration-d/,Pants on Fire!
3722,"""By funding the authorization that’s already happened a decade ago (in the Secure Fence Act of 2006), we could start the process of meeting Mr. Trump’s campaign pledge to secure the border.""",Luke Messer,/truth-o-meter/statements/2017/jan/17/luke-messer/rep-luke-messer-correct-2006-act-allows-border-wal/,True
3723,"""Social Security is in trouble (it’s going bankrupt by 2034).""",Sam Johnson,/texas/statements/2017/jan/17/sam-johnson/sam-johnson-airs-half-true-claim-social-security-g/,Half-True
3724,"The federal government is prohibited ""from negotiating lower prescription drug prices for our senior citizens.""",Tammy Baldwin,/wisconsin/statements/2017/jan/17/tammy-baldwin/tammy-baldwin-federal-government-prohibited-negoti/,True
3725,"Says Georgia’s 5th congressional district, represented by John Lewis, is ""in horrible shape and falling apart (not to mention crime infested).""",Donald Trump,/truth-o-meter/statements/2017/jan/15/donald-trump/trumps-john-lewis-crime-invested-atlanta/,Mostly False
3726,"""The vast majority of people that got insurance under President Obama's Obamacare, the Affordable Care Act, got it through Medicaid.""",Rand Paul,/truth-o-meter/statements/2017/jan/15/rand-paul/medicaid-expansion-drove-health-insurance-coverage/,Half-True
3727,"""Paying for a hotel room is not a gift or a present and it has nothing to do with an office. It's not an emolument.""",Sheri Dillon,/truth-o-meter/statements/2017/jan/13/sheri-dillon/trump-lawyer-foreign-dignitaries-staying-trump-hot/,Half-True
3728,"Says ""Justice Ruth Bader Ginsburg is resigning from the post of associate justice of the Supreme Court.""",Bloggers,/punditfact/statements/2017/jan/13/blog-posting/supreme-courts-ginsburg-not-retiring-despite-what-/,Pants on Fire!
3729,"Wisconsin property taxes, as a percentage of personal income, ""are the lowest that they've been since the end of World War II.""",Scott Walker,/wisconsin/statements/2017/jan/13/scott-walker/scott-walker-says-wisconsin-property-taxes-percent/,True
3730,"""House GOP rules package bars CBO from counting spikes in deficit spending spurred by an ACA repeal.""",Keith Ellison,/truth-o-meter/statements/2017/jan/12/keith-ellison/keith-ellison-wrong-cbo-cant-analyze-cost-obamacar/,False
3731,"""I have never lobbied against sanctions personally... to my knowledge, Exxon never directly lobbied against sanctions.",Rex Tillerson,/truth-o-meter/statements/2017/jan/12/rex-tillerson/tillerson-misleads-russian-sanctions-opposition/,Mostly False
3732,"""The same 3 senators who have spent the last 3 years s------- themselves over ‘Benghazi!’ just introduced a bill to reduce embassy security by 50 percent.""",The Other 98%,/truth-o-meter/statements/2017/jan/12/other-98/meme-exaggerates-gop-senators-bill-embassy-move/,Mostly False
3733,"""I have never once raised the county tax levy -- not for seven straight years.""",Robert Astorino,/new-york/statements/2017/jan/11/robert-astorino/astorino-has-not-raised-tax-levy-westchester-count/,True
3734,"Americans don't ""care at all"" about Donald Trump's tax returns.",Donald Trump,/truth-o-meter/statements/2017/jan/11/donald-trump/trump-wrong-reporters-are-only-ones-who-care-about/,False
3735,"Tuberculosis recently passed ""HIV/AIDS as the leading infectious killer globally.""",Nick Seymour,/global-news/statements/2017/jan/11/nick-seymour/tuberculosis-might-top-hivaids-deadliest-infectiou/,Half-True
3736,"The Russians ""tried to hack the Republican National Committee, and they were unable to break through.""",Donald Trump,/truth-o-meter/statements/2017/jan/11/donald-trump/trump-says-russians-were-unable-hack-republican-na/,Mostly True
3737,"""Chinese restaurant in Coral Springs, Fla., busted for selling dog meat to VIP customers.""",Bloggers,/florida/statements/2017/jan/11/blog-posting/fake-news-theres-no-chinese-restaurant-selling-dog/,Pants on Fire!
3738,"Says Hillary Clinton campaign chairman John Podesta’s email password was ""password.""",Reince Priebus,/wisconsin/statements/2017/jan/11/reince-priebus/russian-hacking-case-did-hillary-clintons-campaign/,False
3739,"Of Sen. Jeff Sessions, ""you've objected to immigrants volunteering to serve in our armed forces, saying, 'In terms of who's going to be most likely to be a spy, somebody from Cullman, Ala., or somebody from Kenya?'""",Richard Durbin,/truth-o-meter/statements/2017/jan/10/richard-durbin/durbin-says-sessions-objected-immigrants-armed-for/,Mostly True
3740,On resigning her Texas House seat.,Dawnna Dukes,/texas/statements/2017/jan/10/dawnna-dukes/full-flop-dawnna-dukes-sworn-after-vowing-resign-h/,Full Flop
3741,"""About 8 out of 10 favor changing Obamacare significantly or replacing it altogether.""",Mitch McConnell,/truth-o-meter/statements/2017/jan/10/mitch-mcconnell/mitch-mcconnell-says-favor-changing-Obamacare/,Mostly True
3742,"Says Donald Trump campaigned on not cutting Medicare and Social Security, but his nominee for the Secretary of Health and Human Services, Tom Price, ""made his career on cutting Medicare and Medicaid.""",Charles Schumer,/truth-o-meter/statements/2017/jan/10/charles-schumer/schumer-trump-and-his-hhs-pick-tom-price-odds-medi/,Mostly True
3743,Says Donald Trump warned outgoing Ghana President against last-minute job appointments.,Bloggers,/global-news/statements/2017/jan/10/blog-posting/no-trump-never-called-departing-ghanaian-president/,Pants on Fire!
3744,"Say first grandma Marian Robinson will get a $160,000 annual pension for life when President Barack Obama leaves office.",Bloggers,/punditfact/statements/2017/jan/10/blog-posting/fake-news-first-grandma-marian-robinson-not-gettin/,Pants on Fire!
3745,"""More college graduates are living at home than in decades.""",Andrew Cuomo,/new-york/statements/2017/jan/09/andrew-cuomo/more-college-graduates-living-home-decades/,True
3746,"Under Obamacare, ""American families have seen an increase in premiums of $5,000.""",Mike Pence,/truth-o-meter/statements/2017/jan/09/mike-pence/mike-pence-says-under-obamacare-american-families-/,Half-True
3747,"Activities by foreign governments had ""absolutely no effect on the outcome of this election.""",Donald Trump,/truth-o-meter/statements/2017/jan/08/donald-trump/donald-trumps-dubious-claim-foreign-governments-ha/,Mostly False
3748,"""In 2009, Mitch McConnell was the person that’s saying, 'Hey, we should get all the ethics information in before we do the hearings.' """,Cory Booker,/truth-o-meter/statements/2017/jan/08/cory-booker/booker-mcconnell-full-ethics-review-obama-nominees/,Mostly True
3749,"""Martin Luther King said our lives begin to end the day we become silent on things that matter.""",Dan Patrick,/texas/statements/2017/jan/06/dan-patrick/half-true-dan-patrick-martin-luther-king-saying-li/,Half-True
3750,Says a celebrity praises locals for their help after an automotive breakdown.,Bloggers,/punditfact/statements/2017/jan/06/blog-posting/celebrity-praise-helpful-locals-are-fake-stories-c/,Pants on Fire!
3751,"""Asia ... has less freshwater per capita than any other continent, except Antarctica.""",Brahma Chellaney,/global-news/statements/2017/jan/06/brahma-chellaney/yes-asia-most-water-strapped-continent/,Mostly True
3752,"Says John Podesta’s email password was ""password.""",Jesse Watters,/punditfact/statements/2017/jan/06/jesse-watters/claim-john-podestas-email-password-was-password-la/,False
3753,Says Vicks VapoRub caused a child’s death.,Bloggers,/global-news/statements/2017/jan/06/blog-posting/parenting-blog-falsely-claims-vicks-vaporub-was-fa/,False
3754,"""We don't get any of that information"" from the federal government on who refugees are, where they come from and how long they are likely to stay.",Scott Walker,/wisconsin/statements/2017/jan/06/scott-walker/federal-government-doesnt-give-information-syrian-/,Mostly False
3755,"""Donald Trump performed better than any presidential nominee since Gerald Ford.""",Nicholas Langworthy,/new-york/statements/2017/jan/06/nicholas-langworthy/trump-performed-best-erie-county-reagan/,False
3756,"Says Kate Cloonen ""needs that extra $68,000"" lawmaker salary on top of the ""$8.5 million in state contracts for her construction company.""",Aaron DeGroot,/illinois/statements/2017/jan/06/aaron-degroot/illinois-gop-press-secretary-makes-8-million-twitt/,Half-True
3757,"In New York, ""Average college debt - $30,000 per student.""",Andrew Cuomo,/new-york/statements/2017/jan/05/andrew-cuomo/college-graduates-new-york-owe-about-30000-average/,True
3758,"""Pope Francis To Followers: 'Koran And Holy Bible Are The Same' """,USA Snich,/punditfact/statements/2017/jan/05/usa-snich/fake-news-pope-francis-did-not-say-koran-and-holy-/,Pants on Fire!
3759,"""Jackie Evancho’s album sales have skyrocketed after announcing her inauguration performance.""",Donald Trump,/pennsylvania/statements/2017/jan/05/donald-trump/did-word-trumps-inauguration-concert-cause-jackie-/,True
3760,"""Donald Trump dead from a fatal heart attack!""",TheNewYorkEvening.com,/punditfact/statements/2017/jan/04/thenewyorkeveningcom/news-trumps-death-fake-his-wrestlemania-appearance/,Pants on Fire!
3761,"""Beginning on Jan. 1, prostitution by minors will be legal in California.""",Travis Allen,/california/statements/2017/jan/04/travis-allen/lawmakers-claim-about-california-legalizing-child-/,Pants on Fire!
3762,"""An estimated 8 million children worldwide live in orphanages or residential institutions. Shockingly, 80 percent of these children are not orphans.""",Lumos,/global-news/statements/2017/jan/04/lumos/jk-rowlings-charity-wants-end-orphanages-heres-why/,Half-True
3763,"""General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border.""",Donald Trump,/truth-o-meter/statements/2017/jan/04/donald-trump/mostly-true-trump-tweet-about-gm-chevy-cruze-manuf/,Mostly True
3764,"""Electoral College elector commits suicide to avoid voting for Donald Trump.""",UniversePolitics.com,/punditfact/statements/2017/jan/03/universe-politics/fake-news-michigan-gop-elector-didnt-choose-suicid/,Pants on Fire!
3765,"""Breaking: Crew of Air Force One Refuses to Fly Obama 6000 miles ‘Just to Play Golf’ """,BuzzFeedUSA.com,/punditfact/statements/2016/dec/30/buzzfeedusacom/no-air-force-one-did-not-refuse-take-obama-hawaii/,Pants on Fire!
3766,"Says Donald Trump's first 17 Cabinet appointments ""have a net worth of more than a third of America.""",Mark Pocan,/wisconsin/statements/2016/dec/30/mark-pocan/do-17-picks-donald-trumps-cabinet-have-higher-net-/,Mostly True
3767,"ExxonMobil CEO Rex Tillerson ""will have to divest his holdings, that’s a requirement"" to serve as Secretary of State.",Chris Collins,/new-york/statements/2016/dec/30/chris-collins/tillerson-could-keep-financial-holdings-secretary-/,False
3768,"[Chicago is the] only city in the United States, you get a B average in high school, community college is free.",Rahm Emanuel,/illinois/statements/2016/dec/28/rahm-emanuel/fact-check-emanuels-claim-about-college-only-somew/,Half-True
3769,"""Unlike California, we in Florida welcome driverless cars - no permit required.""",Jeff Brandes,/florida/statements/2016/dec/28/jeff-brandes/florida-no-permit-needed-driverless-cars-florida-s/,True
3770,"""Our university campuses by federal law do not check the immigration status of their students just as our public schools don’t.""",Lloyd Doggett,/texas/statements/2016/dec/28/lloyd-doggett/lloyd-doggett-says-federal-law-universities-dont-c/,Mostly False
3771,"""Secret Service Agent Says Obama Is Muslim & Gay In New Tell-All Book""",NewsExaminer.net,/punditfact/statements/2016/dec/27/newsexaminernet/fake-news-site-falsely-claims-obama-gay-muslim/,Pants on Fire!
3772,"""While many urban areas across the country saw a sharp increase in crime over the last year, the Philadelphia Police Department successfully lowered part one crimes.""",Jim Kenney,/pennsylvania/statements/2016/dec/27/jim-kenney/did-major-crimes-drop-philly-compared-other-cities/,Mostly True
3773,"""Since the Sandy Hook tragedy, more than seven children PER DAY have died from gun violence.""",Jackie Speier,/california/statements/2016/dec/27/jackie-speier/examining-claim-7-children-day-die-gun-violence/,Mostly True
3774,"Says President Barack Obama ""has not condemned"" shootings targeting police.",Larry Pratt,/virginia/statements/2016/dec/27/larry-pratt/pants-fire-larry-pratt-says-obama-hasnt-decried-ki/,Pants on Fire!
3775,"""Pennsylvania Federal Court grants legal authority to remove Trump after Russian Meddling.""",Today News 24,/pennsylvania/statements/2016/dec/23/today-news-24/pennsylvania-judge-didnt-overturn-donald-trumps-pr/,Pants on Fire!
3776,"""Obama orders ban on Christmas cards to military.""",Tdtalliance.com,/punditfact/statements/2016/dec/23/tdtalliancecom/fake-news-blog-says-obama-bans-sending-christmas-c/,Pants on Fire!
3777,"""Because of Obamacare, Medicare is going broke.""",Paul Ryan,/wisconsin/statements/2016/dec/23/paul-ryan/repeal-and-replace-works-paul-ryan-says-obamacare-/,Pants on Fire!
3778,"Because of its higher minimum wage, New York State is ""already showing signs of various companies picking up and leaving.""",Michael Long,/new-york/statements/2016/dec/23/michael-long/business-new-york-have-closed-because-minimum-wage/,Mostly False
3779,"Says an arms control treaty supported by Barack Obama ""could give the U.N. some authority to regulate guns.""",Greg Abbott,/texas/statements/2016/dec/22/greg-abbott/false-greg-abbotts-claim-arms-treaty-could-give-un/,False
3780,"""Emboldened by election, Texas Republicans kill Medicaid funding for kids with disabilities.""",If You Only News,/texas/statements/2016/dec/21/if-you-only-news/news-entertainment-service-incorrectly-says-texas-/,Pants on Fire!
3781,"""Putin Interference Could Give Courts Legal Right to Make Hillary President.""",USA Snich,/punditfact/statements/2016/dec/21/usa-snich/website-hypes-long-shot-theory-about-courts-replac/,False
3782,"""Sarah Palin Calls To Boycott Mall Of America Because ‘Santa Was Always White In The Bible.’""",Politicono.com,/punditfact/statements/2016/dec/21/politiconocom/fake-news-site-says-sarah-palin-boycott-mall-ameri/,Pants on Fire!
3783,"""In the last five years only one out of 60 -- one out of 60 -- appropriations bills has been passed on time before the end of the fiscal year.""",Tom Price,/georgia/statements/2016/dec/21/tom-price/price-mostly-correct-budget-bills/,Mostly True
3784,"Fifty percent of workers ages 55 to 64 have ""zero"" money ""in the bank as they enter retirement.""",Bernie Sanders,/wisconsin/statements/2016/dec/21/bernie-sanders/approaching-retirement-half-workers-55-64-have-zer/,Half-True
3785,"""It is more difficult to obtain a Costco membership than it is to get a NYC Municipal ID""","Ron Castorina, Jr.",/new-york/statements/2016/dec/21/ron-castorina-jr/getting-costco-membership-not-easier-getting-nyc-m/,Pants on Fire!
3786,"""Pence: ‘Michelle Obama Is The Most Vulgar First Lady We’ve Ever Had’""",Politicono.com,/punditfact/statements/2016/dec/20/politiconocom/satirical-site-made-story-mike-pence-called-michel/,Pants on Fire!
3787,Say Bill Gates is linked to HPV vaccine related deaths in India.,Bloggers,/global-news/statements/2016/dec/20/blog-posting/anti-vaccination-blog-revives-debunked-hpv-story/,Pants on Fire!
3788,"""Pro-Lifers Declare 'Ejaculation Is Murder: Every Sperm Cell Is A Life.'""",ThatViralFeed.net,/punditfact/statements/2016/dec/20/thatviralfeednet/every-sperm-cell-life-story-fake-if-you-click-thro/,False
3789,"""Your chances of throwing it are actually a little bit better in that situation.""",Doug Pederson,/pennsylvania/statements/2016/dec/20/doug-pederson/doug-pederson-and-truth-about-two-point-conversion/,False
3790,"""The causation standard in Indiana is exactly the same as it is in Illinois.""",David Menchetti,/illinois/statements/2016/dec/19/david-menchetti/illinois-indiana-work-comp-law-same-words-differen/,True
3791,"""California is growing a hell of a lot faster than Texas.""",Jerry Brown,/california/statements/2016/dec/19/jerry-brown/are-jobs-california-growing-hell-lot-faster-texas/,Mostly True
3792,"""If you’re a single mom, and you’ve two kids in the city of Richmond, you can almost make $50,000 a year on the public dole.""",Bryce Reeves,/virginia/statements/2016/dec/19/bryce-reeves/bryce-reeves-says-single-mom-can-make-almost-50000/,Mostly True
3793,The 2016 and 2017 Missouri budget includes more funding for the University of Missouri than any time in the last 15 years.,Kurt Schaefer,/missouri/statements/2016/dec/19/kurt-schaefer/schaefers-claims-um-system-funding-fall-short/,Mostly False
3794,"""On Oct. 7, the Access Hollywood tape comes out. One hour later, WikiLeaks starts dropping my emails.""",John Podesta,/truth-o-meter/statements/2016/dec/18/john-podesta/its-true-wikileaks-dumped-podesta-emails-hour-afte/,True
3795,"""In Austin, Texas, the average homeowner is paying about $1,300 to $1,400 just for recapture,"" meaning funds spent in non-Austin school districts.",Kirk Watson,/texas/statements/2016/dec/16/kirk-watson/kirk-watson-says-average-austin-homeowner-pays-130/,True
3796,"""Taxes for every New Yorker are lower today than when I started""",Andrew Cuomo,/new-york/statements/2016/dec/16/andrew-cuomo/most-taxes-are-lower-cuomo-was-elected/,Half-True
3797,"Social Security ""was basically invented"" at the University of Wisconsin-Madison; ""that's where Franklin Roosevelt got the idea.""",Russ Feingold,/wisconsin/statements/2016/dec/16/russ-feingold/was-social-security-basically-invented-university-/,True
3798,"""Germany managed to increase its use of renewables and its output of carbon dioxide at the same time -- because it resorted to cheap coal to keep the lights on at a price its people could afford.""",Jeanne Ives,/illinois/statements/2016/dec/16/jeanne-ives/illinois-energy-debate-ives-german-anecdote-mostly/,Mostly True
3799,"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""",Donald Trump,/truth-o-meter/statements/2016/dec/15/donald-trump/pants-fire-trump-tweet-about-russian-hacking-probe/,Pants on Fire!
3800,"""Florida Moves For FULL RECOUNT Of State Over Massive Voter Fraud""",Bipartisan Report,/punditfact/statements/2016/dec/15/bipartisan-report/florida-calls-recount-over-voter-fraud-website-say/,False
3801,"Says ""tens of thousands of children"" were rushed across the southwest border ""because they fear the wall.""",Geraldo Rivera,/punditfact/statements/2016/dec/15/geraldo-rivera/mostly-false-claim-children-are-rushing-across-bor/,Mostly False
3802,"""Democrats Filing TREASON Charges Against Trump, McConnell, Giuliani, & Comey.""",Realtime Politics,/punditfact/statements/2016/dec/15/realtime-politics/websites-offer-false-headlines-about-treason-c/,False
3803,"America’s federal business tax rate is the highest ""in the world.""",Donald Trump,/wisconsin/statements/2016/dec/15/donald-trump/pledging-cuts-donald-trump-says-wisconsin-rally-us/,Mostly True
3804,"""Obama-Led U.N. Has Just Made It Official, U.S. To Immediately Pay Blacks 'Reparations'.""",Freedom Daily,/punditfact/statements/2016/dec/15/freedom-daily/fake-news-popular-post-claims-obama-led-un-pay-afr/,Pants on Fire!
3805,"""California is once again the sixth-largest economy in the world. If you add the GDP’s of Washington and Oregon, California would surpass the United Kingdom to become the fifth-largest economy in the world.""",Antonio Villaraigosa,/california/statements/2016/dec/15/antonio-villaraigosa/villaraigosa-claims-california-oregon-washington-p/,Mostly True
3806,"Says Rex Tillerson ""sued to keep a fracking project out of his backyard.""",Food & Water Watch,/truth-o-meter/statements/2016/dec/14/watch-food-water/did-rex-tillerson-oil-ceo-and-secretary-state-pick/,Mostly True
3807,"""Republicans Looking To Cut Social Security As Much As 50 percent Immediately.""",New Century Times,/punditfact/statements/2016/dec/14/new-century-times/website-makes-dubious-claim-gop-will-cut-social-se/,False
3808,"""House Democrats strike to implement Sharia law!!""",Bloggers,/punditfact/statements/2016/dec/14/blog-posting/websites-revive-claim-house-democrats-strike-impos/,Pants on Fire!
3809,"""Before Leaving, Obama Enacts Rules to Take $3,000 From EVERY American.""",Conservative Tribune,/punditfact/statements/2016/dec/14/conservative-tribune/conservative-website-exaggerates-misleads-post-reg/,Mostly False
3810,"Under Obamacare, ""premiums have doubled and tripled"" in Wisconsin.",Ron Johnson,/wisconsin/statements/2016/dec/13/ron-johnson/testing-ron-johnson-claim-under-obamacare-premiums/,Mostly True
3811,"Says U.S. Rep. Nancy Pelosi said, ""Employers cutting hours is a good thing. It then gives that person time to pursue their dreams and passions.""",Turning Point USA,/punditfact/statements/2016/dec/12/turning-point-usa/facebook-image-revives-made-claim-nancy-pelosi-pra/,False
3812,"""We had a massive landslide victory, as you know, in the Electoral College.""",Donald Trump,/truth-o-meter/statements/2016/dec/12/donald-trump/donald-trumps-electoral-college-victory-was-not-ma/,False
3813,"More than two months ago President Barack Obama signed a bill for more than $1 billion in Zika funding, but ""the federal government has still only committed $7 million"" to help Florida.",Rick Scott,/florida/statements/2016/dec/12/rick-scott/rick-scott-says-federal-government-has-shortchange/,Half-True
3814,"""We adopted the modern Social Security system at a time when the average person died before they were old enough to get Social Security.""",Newt Gingrich,/virginia/statements/2016/dec/12/newt-gingrich/gingrich-correct-life-expectancy-initially-fell-sh/,True
3815,"""There's been no conclusive or specific report to say"" Russia was trying to muddy the election.",Reince Priebus,/truth-o-meter/statements/2016/dec/11/reince-priebus/priebus-falsely-claims-no-conclusive-report-whethe/,False
3816,"Wisconsin has only one county, Dane, ""that's hand counting the votes"" in the 2016 presidential recount.",Sean Duffy,/wisconsin/statements/2016/dec/09/sean-duffy/wisconsin-presidential-election-recount-only-dane-/,Pants on Fire!
3817,"A recent study found ""that cities where Uber operates have 3.6%-5.6% fewer drunk driving deaths than cities without access to ridesharing.""",Uber,/new-york/statements/2016/dec/09/uber/uber-cherry-picks-data-study-about-drunken-driving/,Half-True
3818,"Says Donald Trump ""thinks stop-and-frisk is fine.""",Gwen Moore,/wisconsin/statements/2016/dec/09/gwen-moore/us-rep-gwen-moore-d-milwaukee-says-donald-trump-th/,True
3819,"Alison Alter ""has exploited a campaign finance loophole to obtain over $64,000 in public dollars to fund her campaign.""",Sheri Gallo,/texas/statements/2016/dec/08/sheri-gallo/sheri-gallo-says-alison-alter-landed-64000-runoff-/,Half-True
3820,"""More than two-thirds of the aliens the Obama administration has brought to the United States under the president's Central American Minors program weren’t actually minors at all.""",Bloggers,/punditfact/statements/2016/dec/07/blog-posting/claim-central-american-minors-program-mostly-benef/,Mostly True
3821,"""Trump’s Health Secretary Pick Wants a Medicare Phaseout by Summer 2017.""",Winning Democrats,/punditfact/statements/2016/dec/07/winning-democrats/no-trumps-health-secretary-pick-tom-price-doesnt-w/,False
3822,"Says actor Dwayne ""The Rock"" Johnson wore a T-shirt stating: ""We Stand for the flag, we kneel for the fallen.""",Sid Miller,/texas/statements/2016/dec/07/sid-miller/sid-miller-posts-manipulated-photo-the-rock-facebo/,False
