,statement,source,year,veracity
18_21,"""One out of five Americans cannot afford the cost of prescription drugs.""",Bernie Sanders,"stated on April 30, 2019 in an interview on CNN:",mostly-true
18_22,"""I was always labeled as one of the most liberal members of the United States Congress.""",Joe Biden,"stated on May 1, 2019 in an interview:",false
18_23,Says Filipino news organizations are part of a plot to discredit President Rodrigo Duterte and destabilize his government.,The Manila Times,"stated on April 22, 2019 in a newspaper story:",false
18_24,"""You've got millions of families paying 40, 50, 60% of their limited incomes to put a roof over their heads.""",Bernie Sanders,"stated on April 22, 2019 in a CNN town hall:",true
18_25,"Speaking of the financial crisis that gained traction in 2007, ""I talked about it to anyone who would listen, a crisis is coming.""",Elizabeth Warren,"stated on April 22, 2019 in a CNN town hall in New Hampshire:",true
18_26,"The Russia investigation ""was a coup. This was an attempted overthrow of the United States government.""",Donald Trump,"stated on April 25, 2019 in an interview with Fox News' Sean Hannity:",pants-fire
18_27,"With a late-term abortion, ""the mother meets with the doctor. They take care of the baby, they wrap the baby beautifully. And then the doctor and the mother determine whether or not they will execute the baby.""",Donald Trump,"stated on April 27, 2019 in a rally in Green Bay, Wis.:",false
18_28,"""Half the country today has either diabetes or prediabetes.""",Tim Ryan,"stated on April 11, 2019 in a town hall in New Hampshire:",mostly-true
18_29,"Says Joe Biden ""voted for the Iraq War, for mass incarceration, and for the Bankruptcy Reform Act while voting against gay marriage, reproductive rights, and school desegregation.""",Justice Democrats,"stated on April 25, 2019 in a tweet:",half-true
19_0,"""Most of home care is paid by government programs.""",John Delaney,"stated on April 13, 2019 in a Tweet:",mostly-true
19_1,"Says he has ""more executive experience than the vice president.""",Pete Buttigieg,"stated on April 22, 2019 in a town hall:",barely-true
19_2,"Russia’s interference in the 2016 election amounted to ""a couple of Facebook ads.""",Jared Kushner,"stated on April 23, 2019 in an interview:",pants-fire
19_3,"""In the ‘old days’ if you were president and you had a good economy, you were basically immune from criticism.""",Donald Trump,"stated on April 23, 2019 in a tweet:",pants-fire
19_4,"""The 2008 election was the first election in which voters of color comprised over 25 percent of the electorate, and that number is going up.""",Mac Heller,"stated on April 7, 2019 in an interview on CNN:",true
19_5,"""The White House fully cooperated with the Special Counsel’s investigation.""",William Barr,"stated on April 18, 2019 in a press conference:",false
19_6,"In 2017, the first piece of legislation that Republicans passed ""made it easier for the mentally ill to purchase guns.""",Eric Swalwell,"stated on April 14, 2019 in a campaign rally:",half-true
19_7,"Says Jimmy Carter was the last ""U.S. president to say flat out those (Israeli) settlements are illegal.""",Marianne Williamson,"stated on April 14, 2019 in a CNN town hall:",half-true
19_8,"""There is $50 billion a year wasted in the Medicare program.""",Tim Ryan,"stated on April 11, 2019 in a town hall:",mostly-true
19_9,"Says President Donald Trump's ""effort to roll back regulations means that Big Ag now gets to inspect its own pork"" and ""they decided to stop testing for E. coli.""",Tulsi Gabbard,"stated on April 8, 2019 in a tweet:",barely-true
19_10,"""People show up in the emergency room with a sprained ankle, 25 percent get an opioid prescription.""",Joe Biden,"stated on April 11, 2019 in a panel at the University of Pennsylvania:",mostly-true
19_11,"""For every dollar we spend on actual peace creation, we spend over $1,000 on ways to prepare for war.""",Marianne Williamson,"stated on April 4, 2019 in an interview:",half-true
19_12,"Says presidents George W. Bush and Barack Obama each tried to get immigration bills passed, but ""it did not work because the other party was unwilling to provide the president and his party a victory.""",Howard Schultz,"stated on April 4, 2019 in a Fox News town hall:",barely-true
19_13,Says that the Council on American-Islamic Relations was founded in response to 9/11.,Ilhan Omar,"stated on March 23, 2019 in a speech:",false
19_14,"Says President Donald Trump ""cut funding from the Justice Department to investigate these domestic terrorist groups, these white supremacist groups.""",Cory Booker,"stated on March 27, 2019 in a CNN town hall in South Carolina:",barely-true
19_15,"""We got to almost universal coverage in health care in Colorado.""",John Hickenlooper,"stated on March 31, 2019 in in an interview on MSNBC:",mostly-true
19_16,"""We cut unemployment by more than half"" in South Bend, Ind.",Pete Buttigieg,"stated on April 7, 2019 in an interview on NBC's ""Meet the Press"":",mostly-true
19_17,"Says President Donald Trump said asylum seekers ""aren't people. These are animals.""",Tweets,"stated on April 5, 2019 in a tweet:",false
19_18,"""The noise (from windmills) causes cancer.""",Donald Trump,"stated on April 2, 2019 in a speech to the National Republican Congressional Committee:",pants-fire
19_19,"""Since 1973, the income of the bottom 90 percent, so pretty much all of us, didn’t budge, or even retreated a little bit.""",Pete Buttigieg,"stated on April 1, 2019 in a podcast interview:",half-true
19_20,"Says his father, Fred Trump, was ""born in a very wonderful place in Germany.""",Donald Trump,"stated on April 2, 2019 in remarks to reporters:",pants-fire
19_21,"Mergers and integration in agribusiness ""squeeze"" family farms, and ""the result is that farmers are getting a record-low amount of every dollar Americans spend on food.""",Elizabeth Warren,"stated on March 27, 2019 in a policy paper posted on Medium:",half-true
19_22,"""When the wind stops blowing, that’s the end of your electric.""",Donald Trump,"stated on March 2, 2019 in a speech:",barely-true
19_23,"""America’s life expectancy has declined for the last three years in a row, the first time in a hundred years, because of surges in suicides and drug overdoses.""",Andrew Yang,"stated on March 22, 2019 in an interview:",mostly-true
19_24,"""Every single (health care) plan that this White House has ever put forward since Donald Trump was elected covered pre-existing conditions.""",Mick Mulvaney,"stated on March 31, 2019 in an interview on ABC News' ""This Week"":",barely-true
19_25,"""The FBI said (former national security adviser Michael Flynn) wasn't lying.""",Donald Trump,"stated on March 27, 2019 in an interview on Hannity:",false
19_26,"Says Donald Trump’s health care policies have ""left millions more Americans uninsured since he took office.""",Julián Castro,"stated on March 26, 2019 in a tweet:",half-true
19_27,"The Trump budget ""cuts $845 billion, almost a trillion dollar cut in Medicare.""",Joe Biden,"stated on March 12, 2019 in a speech to the International Association of Fire Fighters:",barely-true
19_28,"After legalizing marijuana in Colorado, ""we haven't seen a spike in consumption.""",John Hickenlooper,"stated on March 20, 2019 in a CNN town hall:",half-true
19_29,"During her tenure as county attorney in Minnesota, ""there was a 65 percent decrease in incarceration of African-Americans.""",Amy Klobuchar,"stated on March 17, 2019 in an interview on CNN's ""State of the Union"":",false
20_0,"""Farmer suicide rates are as high as they have been since the Great Depression.""",Cory Booker,"stated on March 18, 2019 in an interview on MSNBC:",false
20_1,"""We have flown a Boeing 737 across the Atlantic Ocean on biofuels. We have flown F-18s.""",Jay Inslee,"stated on March 19, 2019 in in an interview:",mostly-true
20_2,"""We pay far more for health care than any other country in the world, yet we have far worse outcomes than any other country in the world.""",Tulsi Gabbard,"stated on March 10, 2019 in a town hall:",mostly-true
20_3,"""Seismic airgun blasting (used for energy exploration) is ... 16,000 times louder than"" a conventional airhorn.",Joe Cunningham,"stated on March 7, 2019 in a U.S. House hearing:",mostly-true
20_4,"Says Paul Manafort’s sentencing judge, Amy Berman Jackson, ""conceded that there was absolutely no evidence of any Russian collusion in this case. So that makes two courts. Two courts have ruled no evidence of any collusion with any Russians.""",Kevin Downing,"stated on March 13, 2019 in remarks to reporters:",pants-fire
20_5,"""We have developed a wind industry (in Washington state) from zero to $6 billion in 12 years.""",Jay Inslee,"stated on March 10, 2019 in in an interview:",mostly-true
20_6,"The Boeing 737 Max 8, the type of plane that crashed in Ethiopia, continues to fly in the United States, despite the FAA saying ""software updates are likely coming.""",Elizabeth Warren,"stated on March 12, 2019 in a press release:",true
20_7,"""At $93 trillion, the Green New Deal would cost more than the entire recorded spending of the U.S. since the Constitution went into effect in 1789.""",Joni Ernst,"stated on March 6, 2019 in a speech:",false
20_8,"""Trump's campaign manager, Paul Manafort, commits bank and tax fraud and gets 47 months. A homeless man, Fate Winslow, helped sell $20 of pot and got life in prison.""",Elizabeth Warren,"stated on March 7, 2019 in a tweet:",mostly-true
20_9,"""The forest fires were so grotesque last year that we had the worst air in the world in Washington.""",Jay Inslee,"stated on February 20, 2019 in an interview:",mostly-true
20_10,"When Congress sought documents from President Barack Obama, the White House ""didn’t do anything. They didn’t give one letter of the request. Many requests were made. They didn’t give a letter.""",Donald Trump,"stated on March 5, 2019 in remarks at the White House:",pants-fire
20_11,"Says Beto O’Rourke and Sen. Kirsten Gillibrand ""have both said they would tear down the wall if elected president.""",America First,"stated on March 1, 2019 in a tweet:",half-true
20_12,"""Tax revenue went up, actually, $14 billion last year after the tax cut actually occurred. We had greater revenue.""",James Lankford,"stated on March 6, 2019 in an interview on MSNBC's ""Morning Joe"":",barely-true
20_13,"Says President Donald Trump ""came forth with a budget — a trillion dollar cut in Medicaid, $500 billion to Medicare, and $72 billion for the Social Security Disability Fund.""",Bernie Sanders,"stated on February 25, 2019 in a CNN town hall event:",half-true
20_14,"With the Trump tax law, ""70 percent of the benefits went to the wealthiest 1 percent.""",Sherrod Brown,"stated on February 18, 2019 in an interview:",half-true
20_15,"Raising the federal minimum wage to $15 ""would give more than 40 million low-wage workers a raise, more than 25 percent of the U.S. workforce.""",Bernie Sanders,"stated on February 26, 2019 in a tweet:",half-true
20_16,"""#MichaelCohen: Convicted of lying to Congress re: Russia investigation … #ElliottAbrams: Convicted of lying to Congress re: arming Contra death squads""",Ilhan Omar,"stated on February 27, 2019 in a tweet:",mostly-true
20_17,"Says President Donald Trump ""put out a $297 million contract to a vendor to show him how to hire Border Patrol. So, the first payment they made was $14.8 million. You know how many Border Patrol they hired with $14.8 million? Two.""",Henry Cuellar,"stated on February 22, 2019 in a press conference:",mostly-true
20_18,"""The Democrat(ic) position on abortion is now so extreme that they don’t mind executing babies AFTER birth.""",Donald Trump,"stated on February 25, 2019 in a tweet:",false
20_19,"""We have a president who wanted to throw 32 million people off of the health care they had.""",Bernie Sanders,"stated on February 25, 2019 in a CNN town hall event:",half-true
20_20,"""Half the states in the U.S. have laws that criminalize criticism.""",American Civil Liberties Union,"stated on December 22, 2018 in a Facebook post:",barely-true
20_21,"Farmers are declaring bankruptcy ""in record numbers"" and ""the median income for U.S. farm households was -$1,548 in 2018.""",Tulsi Gabbard,"stated on February 19, 2019 in a tweet:",barely-true
20_22,"""The high cost of child care is the No. 1 reason people give for having fewer children than they’d like.""",Elizabeth Warren,"stated on February 19, 2019 in a policy announcement on Medium:",half-true
20_23,"Says former Sen. Harry Reid ""got thrown out.""",Donald Trump,"stated on February 25, 2019 in a tweet:",pants-fire
20_24,"""We have just built this powerful Wall in New Mexico. Completed on January 30, 2019 — 47 days ahead of schedule!""",Donald Trump,"stated on February 20, 2019 in a tweet:",half-true
20_25,"Prescription drugs ""are nearly 20 percent of our health care costs now when you include hospital prescription drugs.""",Amy Klobuchar,"stated on February 18, 2019 in a town hall:",mostly-true
20_26,"""Since the passage of (the Violence Against Women Act), annual rates of domestic violence have dropped by 63 percent.""",Joe Biden,"stated on February 15, 2019 in a tweet:",half-true
20_27,"""In Canada, for a number of decades, they have provided quality care to all people without out-of-pocket expenses. You go in for cancer therapy, you don't take out your wallet.""",Bernie Sanders,"stated on February 19, 2019 in an interview on CBS This Morning:",half-true
20_28,"Says Kamala Harris said, ""We will take their (health) insurance away.""",Cory Gardner,"stated on February 14, 2019 in an interview:",half-true
20_29,"""Comprehensive immigration reform, the bill we had back in 2013 ... brought the debt down $158 billion.""",Amy Klobuchar,"stated on February 18, 2019 in a CNN town hall:",half-true
21_0,"""Violent crime is now going down for the first time in a long while.""",Donald Trump,"stated on February 13, 2019 in a speech:",barely-true
21_1,"""In 2011, for example, the United Kingdom had 146 deaths due to gun violence; Denmark, 71; Portugal, 142; and Japan, 30. But last year, in the United States, almost 40,000.""",Jerrold Nadler,"stated on February 6, 2019 in a committee hearing:",mostly-true
21_2,"""By rubber-stamping the Bayer-Monsanto merger, the Justice Department is handing control over one quarter of the world's seeds and pesticides market to one ginormous agribusiness.""",Elizabeth Warren,"stated on February 4, 2019 in a Facebook post:",half-true
21_3,"Says that at Beto O’Rourke’s rally in El Paso, there were ""200 people, 300 people.""",Donald Trump,"stated on February 11, 2019 in a speech in El Paso, Texas:",false
21_4,"""In 2017, the CEO of McDonalds got paid $21.8 million. The median pay for a McDonald's worker that year was $7,000. This is a moral outrage. We need a $15 minimum wage so that no one is paid a poverty wage.""",Ilhan Omar,"stated on February 7, 2019 in a congressional hearing:",barely-true
21_5,"""I have more military experience than anybody who’s arrived behind that desk since George H.W. Bush.""",Pete Buttigieg,"stated on January 31, 2019 in an interview:",true
21_6,"""The border city of El Paso, Texas, used to have extremely high rates of violent crime — one of the highest in the country, and considered one of our nation's most dangerous cities. Now, immediately upon its building, with a powerful barrier in place, El Paso is one of the safest cities in our country.""",Donald Trump,"stated on February 5, 2019 in State of the Union address:",false
21_7,"""Even the (Congressional Budget Office) says if you lower Medicare to allow 50 year olds to get into it, you can not only save the government money, but you can lower premiums for all Americans.""",Cory Booker,"stated on February 4, 2019 in an interview on CBS This Morning:",false
21_8,"""The Dems and their committees are going ‘nuts.’ The Republicans never did this to President Obama.""",Donald Trump,"stated on February 7, 2019 in a tweet:",barely-true
21_9,"""There was virtually no new business investment"" after the 2017 tax law. ""The bulk was used to buy back their own stock.""",Joe Biden,"stated on January 28, 2019 in remarks in Fort Lauderdale:",half-true
21_10,"""Go back to 2005 until now, we have quadrupled the number of Border Patrol agents.""",Adam Smith,"stated on January 29, 2019 in a committee hearing:",false
21_11,"""The top 0.1 percent ... own about the same wealth as 90 percent of America.""",Elizabeth Warren,"stated on January 29, 2019 in a tweet:",mostly-true
21_12,"""Over 40 percent of the American people don't have $400 in the bank.""",Howard Schultz,"stated on January 27, 2019 in an interview on CBS:",mostly-true
21_13,"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote.""",Donald Trump,"stated on January 27, 2019 in a tweet:",false
21_14,"""We are not even into February and the cost of illegal immigration so far this year is $18,959,495,168. Cost Friday was $603,331,392. There are at least 25,772,342 illegal aliens, not the 11,000,000 that have been reported for years, in our Country.""",Donald Trump,"stated on January 27, 2019 in a tweet:",false
21_15,"""One in three women is sexually assaulted on the dangerous journey north.""",Donald Trump,"stated on January 19, 2019 in a speech:",half-true
21_16,"""7 million more Americans are uninsured now than when President Trump was elected.""",Maria Cantwell,"stated on January 23, 2019 in a tweet:",half-true
21_17,"""Kamala Harris is NOT eligible to be President.""",Jacob Wohl,"stated on January 22, 2019 in a tweet:",pants-fire
21_18,"""The caliphate has crumbled and ISIS has been defeated.""",Mike Pence,"stated on January 16, 2019 in a speech:",barely-true
21_19,"Says the Trump administration has ""a scheme to try to take (Oleg Deripaska’s) ownership level down from 70 percent to roughly 40, 45"" so that the Russian company is no longer subject to sanctions.",Mark Warner,"stated on January 13, 2019 in in an interview:",half-true
21_20,"Says there’s ""never (been) so many apprehensions ever in our history.""",Donald Trump,"stated on January 10, 2019 in remarks in McAllen, Texas:",false
21_21,"""When I say Mexico is going to pay for the wall, that's what I said. Mexico is going to pay. I didn't say they're going to write me a check for $20 billion or $10 billion.""",Donald Trump,"stated on January 10, 2019 in a roundtable at the border:",false
21_22,"Says Sen. Charles Schumer ""repeatedly supported a physical barrier in the past along with many other Democrats. They changed their mind only after I was elected president.""",Donald Trump,"stated on January 8, 2019 in a televised speech:",barely-true
21_23,"""At the request of Democrats, it will be a steel barrier rather than a concrete wall.""",Donald Trump,"stated on January 8, 2019 in a televised speech:",false
21_24,"With the Republican tax law, ""the rich folks got $1.5 trillion.""",Elizabeth Warren,"stated on January 2, 2019 in an interview on MSNBC's Rachel Maddow Show:",half-true
21_25,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",Donald Trump,"stated on January 2, 2019 in in a discussion with reporters:",pants-fire
21_26,"""Mexico is paying for the Wall through the new USMCA Trade Deal.""",Donald Trump,"stated on January 2, 2019 in a tweet:",false
21_27,"""The 2017/2018 budgets gave (President Donald) Trump billions for border upgrades. He’s spent ALMOST NONE of it. 6%.""",Chris Murphy,"stated on December 23, 2018 in a tweet:",barely-true
21_28,"Says troops recently received ""one of the biggest pay raises"" ever, and that it was the first pay increase in ""more than 10 years.""",Donald Trump,"stated on December 26, 2018 in remarks to U.S. troops:",pants-fire
21_29,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",Donald Trump,"stated on December 20, 2018 in a tweet:",false
22_0,"Says 19,000 text messages exchanged between former FBI officials that were ""purposely and illegally deleted ... would have explained (the special counsel investigation) hoax.""",Donald Trump,"stated on December 18, 2018 in in a tweet:",pants-fire
22_1,"""In the United States, if there was equal participation of women in the labor market, GDP would be up by 5 percent.""",Christine Lagarde,"stated on December 9, 2018 in an interview with CBS News' Face the Nation:",half-true
22_2,"""After a decade of progress, the rate of uninsured children is now rising.""",Amy Klobuchar,"stated on December 3, 2018 in a tweet:",mostly-true
22_3,"Says the United States loses ""250 Billion Dollars a year on illegal immigration, not including the terrible drug flow. Top Border Security, including a Wall, is $25 Billion. Pays for itself in two months.""",Donald Trump,"stated on December 4, 2018 in in a tweet:",false
22_4,"""$21T in Pentagon accounting errors. Medicare for All costs ~$32T. That means 66% of Medicare for All could have been funded already by the Pentagon.""",Alexandria Ocasio-Cortez,"stated on December 2, 2018 in a tweet:",false
22_5,"""There’s bipartisan consensus that (Matthew Whitaker’s) appointment violates the Appointments Clause of the Constitution.""",Nancy Pelosi,"stated on November 16, 2018 in in a press conference :",false
22_6,"Says of immigrant family separations at the border, ""we had the exact same policy as the Obama administration.""",Donald Trump,"stated on November 25, 2018 in a tweet:",false
22_7,"""Tear gas was used on average once a month during the Obama administration for very similar circumstances.""",Sarah  Huckabee Sanders,"stated on November 27, 2018 in a press briefing:",mostly-true
22_8,"In her defeat of Republican Rep. Karen Handel, Democratic challenger Lucy McBath ""was outspent 5-1.""",Alexandria Ocasio-Cortez,"stated on November 19, 2018 in a tweet:",false
22_9,"Sanctuary jurisdictions ""violate the laws of our nation.""",Steve Daines,"stated on November 15, 2018 in a Senate hearing:",barely-true
22_10,"Just before Thanksgiving, oil was $54 a barrel, down from $82. ""Thank you to Saudi Arabia.""",Donald Trump,"stated on November 21, 2018 in a tweet:",half-true
22_11,"""There have been no hearings"" on a criminal justice bill being considered in the Senate.",Tom Cotton,"stated on November 16, 2018 in a tweet:",barely-true
22_12,"""If you buy, you know, a box of cereal, if you do anything, you have a voter ID. … The only thing you don’t is if you’re a voter of the United States.""",Donald Trump,"stated on November 14, 2018 in an interview with the Daily Caller:",pants-fire
22_13,"""15,000 troops will not see their families for #Thanksgiving because of @realDonaldTrump’s Scaravan Stunt. Oh yeah, it’s also costing you 200 million dollars.""",Eric Swalwell,"stated on November 12, 2018 in a tweet:",half-true
22_14,"""In the House, Republicans dramatically outperformed historical precedents.""",Donald Trump,"stated on November 7, 2018 in a press conference:",false
22_15,"""This election marks the largest Senate gains for a president's party in a first midterm election since at least President Kennedy's in 1962.""",Donald Trump,"stated on November 7, 2018 in in a press conference:",half-true
22_16,"Says ""Kurt Russell supports Trump"" by wearing a Trump T-shirt.",Bloggers,"stated on November 6, 2018 in a Facebook post:",pants-fire
22_17,"""Judicial Watch reports show 1.7 million California votes are not registered voters!""",Bloggers,"stated on November 5, 2018 in in a Facebook post:",pants-fire
22_18,"Says Brendan Kelly ""allowed half of the criminals he faced to walk free"" and ""failed to protect women who were violently assaulted,"" allowing ""those guilty of sexual assault to cut inexcusable plea deals.""",Mike Bost,"stated on October 22, 2018 in a campaign ad:",barely-true
22_19,"Says Ohio U.S. Rep. Steve Chabot ""voted to cut health care for kids, affecting up to half the families at Cincinnati’s own Children’s Hospital.""",House Majority PAC,"stated on October 26, 2018 in a TV ad:",half-true
22_20,Says he didn't support the lawsuit to repeal the Affordable Care Act.,Mike Braun,"stated on October 30, 2018 in a debate:",barely-true
22_21,"Says New York Rep. John Faso ""cast the deciding vote"" to try to kill health care protections provided by Obamacare.",Democratic Congressional Campaign Committee,"stated on October 30, 2018 in a campaign ad:",barely-true
22_22,"Says Texas U.S. Rep. John Culberson ""was caught using campaign cash on collectibles, including Civil War memorabilia and fossils.""",Environmental Defense Fund Action,"stated on October 29, 2018 in a mailer to Texas homes:",mostly-true
22_23,"""Attention hunters: Voting in North Dakota could cost you your out-of-state hunting licenses.""",North Dakota Democratic–Nonpartisan League Party,"stated on November 1, 2018 in a Facebook ad:",pants-fire
22_24,"""The Democrat plan would just obliterate Medicare and terminate Medicare Advantage ... seniors who have been paying for this for years (and) will not be taken care of anymore.""",Donald Trump,"stated on October 26, 2018 in a campaign rally:",false
22_25,"Says Maine Democrat Jared Golden ""supports using your Social Security to fund other government programs.""",National Republican Congressional Committee,"stated on October 30, 2018 in a TV ad:",pants-fire
22_26,"""Democrats let him (cop killer Luis Bracamontes) into our country,"" and ""Democrats let him stay.""",Donald Trump,"stated on October 31, 2018 in a tweet:",pants-fire
22_27,"""The Democrats want to invite caravan after caravan of illegal aliens into our country. And they want to sign them up for free health care, free welfare, free education, and for the right to vote.""",Donald Trump,"stated on October 26, 2018 in a rally in North Carolina:",false
22_28,"""President Donald Trump even referred to one of (Kevin) Cramer’s health care repeal bills as 'mean' because the bill gutted protections for North Dakotans with preexisting conditions.""",Heidi Heitkamp,"stated on October 28, 2018 in an op-ed in the Bismarck Tribune:",mostly-true
22_29,"West Virginia ""has the highest overdose rate per capita of any state in our nation.""",Joe Manchin,"stated on October 3, 2018 in a tweet:",true
23_0,"Says ""Ammar Campa-Najjar is working to infiltrate Congress"" and ""is being supported by CAIR and the Muslim Brotherhood.""",Duncan Hunter,"stated on September 26, 2018 in a campaign ad:",pants-fire
23_1,"""Protections on pre-existing conditions have been there since the 1970s.""",Kevin Cramer,"stated on October 26, 2018 in U.S. Senate debate:",false
23_2,"Says ""Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on Pennsylvania streets, to prey all over this country.""",Donald Trump,"stated on October 10, 2018 in a rally in Erie, Pa.:",false
23_3,"""Tina (Smith) profited from the opioid crisis."" ​",Karin Housley,"stated on October 18, 2018 in an ad:",false
23_4,"""Matt Rosendale supports plans that don’t have to cover (pre-existing conditions).""",Jon Tester,"stated on October 10, 2018 in in an ad:",true
23_5,"""Democrats oppose any effort to secure our border.""",Donald Trump,"stated on October 24, 2018 in a campaign rally in Wisconsin:",false
23_6,"Says ""billionaire George Soros bankrolls"" Minnesota Democrat Dan Feehan, who is ""employed by a Soros-funded liberal outfit in D.C."" and his campaign is ""propped up by out of state super PACs backed by Soros' millions.""",National Republican Congressional Committee,"stated on October 18, 2018 in a campaign ad:",false
23_7,"Says Texas Democrat Lizzie Pannill Fletcher contradicted herself on her health care position by saying ""we need universal health care.""",John Culberson,"stated on October 25, 2018 in a TV ad:",false
23_8,"""A lot of people are still dealing with lack of access to health care. There are counties out there, in my former Senate district, that didn’t have doctors and providers.""",Troy Balderson,"stated on October 20, 2018 in a television interview:",half-true
23_9,"Says he didn't cancel a political rally because after Sept. 11, ""the New York Stock Exchange was open the following day.""",Donald Trump,"stated on October 27, 2018 in a rally in Murphysboro, Ill.:",false
23_10,"Says Dan Feehan ""would vote with Pelosi for open borders and amnesty, putting Minnesota families at risk.""",Congressional Leadership Fund,"stated on October 26, 2018 in a campaign ad:",false
23_11,"Says ""sleazy Keith Ellison and shady Dean Phillips both caught up in another sexual harassment scandal"" and that Phillips is ""charged with ignoring sexual harassment and discrimination at his companies.""",Erik Paulsen,"stated on October 17, 2018 in a TV ad:",false
23_12,"""We know dangerous criminals can slip through immigration at airports just like ours. Yet Joe Donnelly stood right here with the radical left against all efforts to secure our most vulnerable entry points.""",National Republican Senatorial Committee,"stated on October 24, 2018 in a digital ad:",false
23_13,"Says revenues ""are actually up after tax reform.""",Don Bacon,"stated on October 16, 2018 in a debate:",half-true
23_14,"Says Phil Bredesen ""lured illegal immigrants to Tennessee.""",Marsha Blackburn,"stated on October 11, 2018 in an attack ad:",barely-true
23_15,"""Many presidents don’t get the chance to put a Supreme Court justice on.""",Donald Trump,"stated on October 24, 2018 in a rally in Mosinee, Wis.:",false
23_16,"Says ""over 40 Republican leaders denounced"" Steve Watkins’ campaign",Democratic Congressional Campaign Committee,"stated on October 22, 2018 in a campaign ad:",half-true
23_17,"Voting for ""any Democrat"" gets you ""socialism ... undefended open borders ... immediate tax increases ... 100 percent government-run health care ...""",Future45,"stated on October 16, 2018 in a campaign ad:",pants-fire
23_18,"Says that U.S. Rep. Andy Barr was ""even dismissing the importance of military service"" by saying, ""We both served our country. I’ve served in a position where ideas matter.""",Democratic Congressional Campaign Committee,"stated on October 8, 2018 in a TV ad:",barely-true
23_19,"Say Maine U.S. Rep. Bruce Poliquin ""voted to gut your retirement benefits.""",Maine Democratic Party,"stated on October 5, 2018 in a campaign mailer:",barely-true
23_20,"Says a recent opioid bill that reached his desk had ""very little Democrat support.""",Donald Trump,"stated on October 12, 2018 in a rally in Lebanon, Ohio:",pants-fire
23_21,"In California, ""they're rioting now"" over sanctuary cities.",Donald Trump,"stated on October 20, 2018 in a rally in Elko, Nev.:",pants-fire
23_22,"Saudi Arabia has ordered $450 billion, ""$110 billion of which is a military order,"" producing ""over a million jobs.""",Donald Trump,"stated on October 20, 2018 in an exchange with reporters:",pants-fire
23_23,"""The standard of voting in North Dakota is the easiest in the country.""",Kevin Cramer,"stated on October 18, 2018 in North Dakota Senate debate:",barely-true
23_24,"Says Democrats ""want to give (undocumented immigrants) cars.""",Donald Trump,"stated on October 20, 2018 in a rally in Elko, Nev.:",pants-fire
23_25,"Says Dean Heller ""broke that promise"" to protect expanded Medicaid.",Democratic Senatorial Campaign Committee,"stated on October 16, 2018 in an attack ad:",half-true
23_26,"""The House GOP super PAC in DC is spending more to help my opponent than anyone else.""",Paul Davis,"stated on October 11, 2018 in a tweet:",barely-true
23_27,"Says Ohio congressional candidate Danny O’Connor ""would make Columbus a sanctuary city for illegal immigrants.""",Defending Main Street,"stated on October 12, 2018 in an ad:",false
23_28,"""Washington Heidi supports sanctuary cities, where illegal immigrants can be released on our streets, like this criminal, who was let go and then sexually assaulted a child.""",Senate Leadership Fund,"stated on October 11, 2018 in a campaign ad:",barely-true
23_29,"""I have no financial interests in Saudi Arabia.""",Donald Trump,"stated on October 16, 2018 in in a tweet:",half-true
24_0,"Says congressional candidate Dino Rossi once suggested ""the state build homes for unwed mothers.""",Washington State Democratic Party,"stated on October 9, 2018 in a tweet:",half-true
24_1,"""The latest round of tariffs now means that the total tax increase on Americans from enacted tariffs exceeds the tax increases from the Affordable Care Act.""",National Taxpayers Union,"stated on October 10, 2018 in Washington Examiner op-ed:",half-true
24_2,"Says Washington’s Kim Schrier has a plan to eliminate employer-provided health coverage, double income taxes and put your care ""in the hands of government bureaucrats.""",National Republican Congressional Committee,"stated on October 9, 2018 in a campaign ad:",barely-true
24_3,"Says that Steve Watkins ""bragged to voters that he built his company from scratch, but it was all a lie.""",Democratic Congressional Campaign Committee,"stated on October 5, 2018 in a TV ad:",half-true
24_4,"Says Minnesota congressional candidate Jim Hagedorn supports a plan that would take away health care for 340,000 veterans, with 17,000 in Minnesota possibly losing coverage.",VoteVets.org,"stated on September 27, 2018 in a campaign ad:",half-true
24_5,"""At (Mike Braun’s) company, the deductible on his health care is $10,000.""",Joe Donnelly,"stated on October 8, 2018 in Indiana Senate debate:",mostly-true
24_6,"Says Kentucky Rep. Andy Barr ""would let shady payday lenders take advantage of our troops"" and that he took ""$36,550 from payday lenders.""",With Honor,"stated on September 10, 2018 in a TV ad:",half-true
24_7,"Says Marsha Blackburn ""voted against the Reauthorization of the Violence Against Women Act, which attempts to protect women from domestic violence, stalking, and date rape.""",Taylor Swift,"stated on October 7, 2018 in an Instagram post:",mostly-true
24_8,"Says New Jersey Rep. Leonard Lance voted repeatedly ""to let insurance companies charge more to people aged 50 and over.""",Tom Malinowski,"stated on October 3, 2018 in a campaign ad:",half-true
24_9,"""Every single Democrat in the U.S. Senate has signed up for the open borders, and it's a bill, it's called the ‘open borders bill.’""",Donald Trump,"stated on October 6, 2018 in a campaign rally:",false
